review,label
beklentimin altında bir ürün kaliteli değil,neg
3. kademe hız da motor titreme yapıyor.bu sebebten 3.kademe kullanımda uzun ömürlü olacağını zannetmiyorum.elide rahatsız ediyor.,neg
başlığı sabit durmuyor. arka koruma demiri üfleme hızını 2.sewiye yapınca yüksek ses cikariyor,neg
ürün gayet kalitesiz öğrenci evinde aldığımız 20 tl lil fön makinası ile aynı hiç farkı yok nerdeyse tek fark üzerinde arzum yazması o kadar.,neg
yuksek hizda kullanirken titredim yaptigi icin eli rahatsiz ediyor,neg
ürünün rengi parlak siyah gösterilirken gelen ürün mat siyah ve adi bir plastik gibi duruyor.,neg
çok kalitesiz.,neg
bi makinadan ancak bu kadar ses çıkabilir. ağaç motoru daha az ses çıkartır.,neg
bu ürünü kızıma aldım kendisi öğrencidir. sadece iki gün sonra fişe takılıyken bozulduğunu söyledi. şahsen üzüldüm. böyle bir ihtimal olduğunu bilesiniz diye yazıyorum.,neg
sesi cok gucu az kurutmasi zayif ergonomik degil vasatin altinda bi ürün,neg
beklediğimden berbat çıktı arkadaşlar gücü yine vasat bundan daha fazlalarına bakın derim ,neg
aldığım ilk günden beri 1. kademede kullandım ilk defa 2. kademe de kullanayım dedim dumanlar cıktı. çok kötü basarısız ve dayanıksız bir ürün,neg
"ilk kullanımda yandı. sadece 1,5 dakika kadar kullanamadım. üflemesi çok zayıf. iğrenç bir plastik kokusu var. şu anda makineyi fişe taktığımda gürültülü tiz bir ses geliyor ama üfleme hiç yok ve de alev alacakmış gibi ısınıyor. acaba ürünlerden en kötüsü bana mı denk geldi.",neg
arka kapağı tam oturmuyor ve çalışırken titreşip gürültü yapıyor.,neg
verdiğim paraya yazık i̇yi göründüğüne bakmayın almayın...,neg
çok gürültülü çalışıyor. ayrıca üfleme gücü yetersiz. isı ayarı arasında neredeyse fark yok gibi. otellerde ki saç kurutma makineleri performansında,neg
ürünü aldım iki günde teslim edildi ama makine çok sesli çalışıyor.,neg
en yüksek hıza aldığımda arkasındaki filtrenin titreşiminden dolayı cızırtılı bir gürültü oluyor. çok rahatsız edici. ayrıca ürün malzeme kalitesi de hiç güzel değil. i̇ade ettim. sıradan bir makine,neg
makine aşırı yüksek sesli ve verdigi hava yetersiz,neg
ürün performansı fiyatına göre oldukça iyi. malzemesi de kaliteli. ,neg
ancak ionic özelliği yani elektriklenmeyi engelleme özelliği sıfır. ya üründe yok ya da bana satılan üründe koymayı unutmuşlar. gerçekten inanılmaz şekilde elektrikleniyor kurutma sonunda.,neg
arzum markasına güvenerek aldım fakat fön çekerken oldukça işlevsiz makine kendini kapatıyor anca soğuyunca tekrar çalışmaya başlıyor. tavsiye etmem.,neg
plastik malzemesi kaliteli değil. çıkan sese kıyasla üflediği hava az. bu fiyata bu kadar..,neg
hepsi burada vok hizli gonderi fakat arzumun kalitesi hic iyi değil ,neg
"prima eski kalitesinden taviz vermeye başladı. eskiden hiç sızma görmezdik şimdi 5 numara büyük bez olmasına rağmen bezde sızma oluyor, çocuk 3 yaşında tabi idrarda artma oluyor ama bez de büyük. ürün kalitesi hoşuma gitmedi ve şüphelendirdi şahsen beni...",neg
prima 1 ve 2 numarada sorun yoktu ama 3 numara çok ağır plastik kokuyor.,neg
her yaptığı kaka olduğu gibi dışına cikiyor,neg
malzeme kalitesi markette satılan gibi değil. orta kısımlarında delikler var. çamaşır değiştirmek durumunda kalıyoruz. ,neg
kullandıktan sonra yorum yapıyorum sızdırıyor günde iki bez kullandığımız çocuk şimdi 4 ten aşağı bezlenmiyor. uygun fiyata almıştık fiyatına göre muamele yaptı..,neg
arkadaslar gunduz sikinti yok.gece cocuk sirilsiklam oluyor.yeni mikro teknolojisi berbat kaciriyor.bi önceki versiyonda sikinti yoktu...,neg
sürekli kullandığım bir bezdi son aldığım paket öncekilere göre daha ince uzun süre bebekte kalınca sızma yapıyor ortalama ömrü 8 saat,neg
"son aldigim 2 kutudan hic memnun kalmadım.bez ortasindan kiyafete sızdırıyor, prima ya yakışmadı. bu tur sikayetleri görünce de iyice emin oldum. baska marka deneyeceğim",neg
çok pahalı vede yerlimalı olarak bilinen marka hem bunda ucuz hem daha kaliteli bir kere aldım bidaha mümkün deyil,neg
"eski urunler gibi degil. daha ince ve sizdiriyor. 2 yildir cocugun kiyafetine sizma olmadi ancak son aldigim bezlerde neredeyse hergun kiyafetine sizma oluyor. eski bezlerimle kiyasladim, hem daha ince, renk tonu farkli, cizgiler ve yazilar farkli. tavsiye etmiyorum almayin.",neg
son aldığımız paketten hiç memnun kalmadık. zaman zaman çocuğun üzerine geçirdi.,neg
kesinlikle eski ürünler gibi değil. dikkat edin.ince ve sızdırıyor. paketinin üstünde bulgarca yazıyor sanırım fazla kalan ürün.diğer primalar gibi değil.beğenmedim.,neg
"bezde bir yenilik yaptılar ardından geceleri sızdırma başladı. gündüzler tamam ama geceleri tavsiye etmiyorum, premium olanı kullanıyorıuz.",neg
sürekli sızdırıyor.önceki kullandığım prima ürünlerine hiç benzemiyor.,neg
prima satın aldım. ancak sebebi her neyse pampers marka geldi. bu da fena degil ama.,neg
geceleri sızdırıyor. ,neg
çocuğumuz doğdu doğalı prima kullanıyoruz fiyat kalite oranı en iyi olan ürün olduğunu kullandıkça gördük,neg
gelen ürün prima değil yurt dışında satılan pampers ve kalitesi de ona göre daha düşük,neg
idare eder,neg
kızım 12 kilo aldığımız bez 11-18 kilo arası 4+kullanıyorduk küçük geliyor diye 5 numara aldık ama geceleri reklamların aksine sıvı yatakta hapsoluyor. 4+tada aynı sorun vardı. sanırım 2 günde bir yatak değiştirmeye devam edecegiz,neg
urun aldik ama primanin eski kalitesi yok sabahlari bebegimiz uyandigimda alti  kiyafetleri islak bir sekilde buluyoruz primanin buna acil olarak bir cozum bulmasi gerekiyor,neg
"aldım ama kafamda soru işaretleri var,,,",neg
"bugune dek defalarca küçük bedenlerini aldığımız ürünün ilk defa bu boyunu aldık ve burnumuzdan geldi. her defasında bez sızdırdı. hatta sızdırmak bile denmez, resmen süzgeç gibi alta geçiriyor. nerde yapılıyor nasıl üretiliyor bilmiyorum ancak tamamen bizi bezdirdi. her bez değiştirmede bezle beraber çocuğun tüm kıyafetlerini de değiştirdik.  ",neg
"ürün eski ürün değil , çok kalitesiz , faturasını atmasam iade edecektim , çocugu pişik yaptı resmen , böyle bir ürün satmak size hiç yakışmadı.",neg
yenilenen kanallı bezler iyi değil. sürekli sızdırıyor. eskiler daha iyiydi.,neg
bence kalitesini artık düşürmüş.ilk cocugumda da bu markayi kullandım o zaman daha iyiydi. çok sızdırıyor sürekli kıyafet değiştiriyoruz. değiştirmeyi düşünüyorum,neg
2 senedir oğlum için kullandığım tek bezdi. son zamanlarada çok fazla sızdırıyor. kanal sistemine geçmeleri hiç iyi olmadı. bu haliyle rezalet. artık almayacağım. bir yıldız bile çok.,neg
sızdırma yapiyor. birde islak mendil koyulsa koliye fena olmaz.,neg
gerçekten çok kötü kalitesi cok kotu bebegimin kiyafetleri hep nemli oluyor ve kakası sırtına cikiyor,neg
son aldığım paketteki bezlerin daha da inceldiğini gördüm ve kzım sabah uyandığında çişi bezin dışına taşıyor. i̇ncelmesinden diye düşünüyorum. memnuniyetim giderek azalıyor :(,neg
arkadaşlar bebeğim için yaklaşık 1.5 senedir prima pampers kullanıyorum son almış olduğum mega box yeni yazan ürünler kalite ve sızdırmazlık olarak eski ürünle uzaktan yakından alakası yok kesinlikle bir maliyet hesabına girilmiş kutusundan bezin kalitesine herşeyi baştan aşağı değişiklik göstermekte açmamış olsam iade etmeyi düşünüyordum.kali̇te eski̇si̇ gi̇bi̇ deği̇l sizdiriyor,neg
eski prima daha iyiydi sabaha kadar tek bezle sizdirma yoktu ama su yenilenen 3 kanalli ile surekli gunduz bile sizdirmalar mevcut,neg
oğlum doğduğundan beri hep prima premium care kullandım bir kaç kere sızdırdı laboratuvar 'a gönderdiler hiçbir sıkıntı yokmuş öle dediler kullanmaya devam ettim şuan prima pampers kullanıyorum oğlum sabahları kalktığında üstü başı her yeri ıslak uyanıyor laboratuvar sonuçlarında yine bir şey çıkmadı bunlar araştırmaları buharla yapıyor heralde.,neg
bezi bağladıktan sonra her kontrol edişimizde bantların ayrıldığını görüyoruz. kalite gerçekten kötü.,neg
pişik yapıyor,neg
ben 2 yıldır kullandığım prizma bez bu defa hayal kırıklığı yarattı geceleri çocuğun bezini kontrol ettiğimizde üstü başı ıslak şekilde buluyoruz her seferinde. ya ürün kalitesi düştü yada burada satılan ürün kalitesiz. aldığım ürünün üzerinde bulgarca yazılar yazıyor bu ayrıca tedirgin etti beni. tavsiye etmiyorum ,neg
ilk 3 numaraya geçtiğimizde ürünü çok begendik fakat daha sonra değişti bebeğimin iç çamaşırı sanki nemli gibi oluyor kaliteyi dusurduler,neg
aynı markanın eski bezlere nazaran daha ince altına yaptıgında sırtına kadar cıkıyor elbisede degistirmek zorunda kalıyoruz ürün daha kaliteli hale gelmeli bu markaya yakısmadı bu ürün,neg
"prima yeni üç kanallı bezi sızdırıyor, eski bezle bebeğim sabaha kadar yatardı ama bu bezin kesinlikle değişmesi gerekiyor aksi takdirde bebeğimin çamaşırları dahi ıslanıyor doğduğundan beri prima kullanıyorduk ama bir daha alır mıyım biliyorum",neg
"prima da sızdırırsa artık ne alacaz bilemedim , 2 paket aldık bi de :(((",neg
cocugumuz 2 yasinda ve dogdugu gunden beri prima kullaniyorduk..ta ki radikal bir karar verip fiyat rekabeti icin kalitenizden odun verene kadar..bu urun prima kalitesine yakismiyor..,neg
ne yazıkki artık bezinizi almayacağım. çünkü sürekli sızdırma problemi oldu. i̇lk sızdırdığında bildirdim firmaya döndüler hemen yeni bezde gönderdiler ama bi şey değişmedi. artık prima kullanmayacağım. eski hali daha iyiydi bu bezin ilgililere duyurun lütfen.,neg
primanin indirimli bezlerinde kalite hataları var! o kadar sizdiryor ki her seferinde çocuğun giysilerini de değiştirmek gerekiyor!,neg
i̇yi güzel,neg
prima daha oncede kullandim ama bu kadar kalitesiz bir prima kullanmadik.yapistirma yeri kopuyor.hemen doluyor kalite sifir.tavsiye etmiyorum kimseye,neg
sanki piyasadaki en kötü ürün gibi bir havası var. 3 yıldır kullanıyoruz prima artık tanınacak halde değil. başka markalarda arayışa başladık bile,neg
emici kanallar hiçte emici değil. nerdeee eski prima kalitesi.. maalesef bu yeni primayı hiç beğenmedim,neg
primayı 1 yıldan fazla kullandık ta ki  eylül ayına kadar eylül ayından sonra kaliteyi çok düşürdüler.ne demek istediğimi anlamak için bu bezin ocak ayından bu güne kadar  çok kötü yorumları okumanızı tavsiye ederim...,neg
yeni üretilen bezler incelmiş sanki. sürekli sızdırıyor. elimdekiler bitince farklı marka tercih edeceğim.,neg
çok incelmiş. sızdırıyor. bildiğimiz prima değil... üzgünüm ama tavsiye etmiyorum... aldığıma pişman oldum...,neg
"sadece 1 numara bezde sorun yaşamadik, 2 ve 3 beden bezler çok kötü, hem sizdiriyor hem son dönemde pi̇şi̇k yapti, son paket bi̇tsi̇n bi̇r daha asla..",neg
premium careden sonra fiyatı uygun diye kullanmaya başladık ama kızımda pişik ve mantar oluşumuna neden oldu. kimseye önermem berbat,neg
arkadaşlar uzun zamandır bunu kullanıyorum fakat kalitesinde bi değişim oldu sızdırmaya başladı fakat bu hepsi burada ya özel bisi değil marketten vs yerden alincada aynı. bilmiyorum böyle düşünen varmı. ,neg
markette satılanlardan daha sert gibi sanki bunu anlayamadım tabi. ancak fiyatı fena değil . alınabilir tavsiye ederim. memnunuz ,neg
oğlum doğduğundan beri kullanıyorum.çok memnundum. ama bu yenilenen prima çok kötü.her gece kıyafet değiştiriyoruz.kullanmayı bilmiyorlar diye yazanlara söylüyorum 20 aydır kullanıyoruz .,neg
kesinlike kaliteyi sıfırlamışlar.hem sızdırıyor hemde çırtlı yeri açılıyor.,neg
